symbol,name,display_name
ISRG,אינטואיטיב סרג'יקל,אִינְטוּאִיטִיב סֶרְגִ'יקָל
BDX,בקסטון דיקינסון,בַּקְסְטוֹן דִּיקִינְסוֹן
ZTS,זואטיס,זוֹאַטִיס
V,ויזה,וִיזָה
MA,מאסטרקארד,מָאסטֶרְקָארְד
AXP,אמריקן אקספרס,אֲמֶרִיקָן אֶקְסְפְּרֶס
SCHW,צ'ארלס שוואב,צָ'ארְלְס שְוואב
MS,מורגן סטנלי,מוֹרְגָן סְטַנְלִי
BLK,בלאקרוק,בְּלָאקְרוֹק
C,סיטיגרופ,סִיטִיגְרוּפ
USB,יו.אס. בנקורפ,יוּ.אֶס. בַּנְקוֹרְפ
PNC,פי-אן-סי פייננשל,פִּי־אֶן־סִי פַייְנֶנְשְל
COF,קפיטל ואן,קַפִּיטָל וָאן
SPG,סיימון פרופרטי גרופ,סַיימוֹן פְּרוֹפֶּרְטִי גְרוּפּ
PLD,פרולוגיס,פְּרוֹלוֹגִיס
EQIX,אקוויניקס,אֶקְוִוינִיקְס
PSA,פרוקסיס סטרונג',פְּרוֹקְסִיס סְטְרוֹנְג'
WELL,וול טאוור,ווֹל טַאוֶור
DLR,דיגיטל ריאלטי טראסט,דִּיגִיטַל רִיאֵלְטִי טְרַאסְט
EXR,אקסטרה ספייס סטרונג',אֶקְסְטְרָה סְפֵּיְס סְטְרוֹנְג'
VNQ,וונגארד ריט,ווֹנְגָארְד רִיט
XLRE,סלקט סקטור ריט,סֶלֶקְט סֶקְטוֹר רִיט
VOO,וונגארד אס-פי 500,ווֹנְגָארְד אֶס־פִּי 500
IVV,איישרס אס-פי 500,אֵייְשֶׁרְס אֶס־פִּי 500
SPY,אס-פי-די-אר אס-פי 500,אֶס־פִּי־דִי־אָר אֶס־פִּי 500
QQQ,אינווסקו קיו-קיו-קיו,אִינוַוסְקוֹ קְיוּ־קְיוּ־קְיוּ
DIA,ספיידר דאו ג'ונס,סְפַּייְדֶר דָאוּ ג'וֹנְס
IWM,ראסל 2000,רַאסֶל 2000
ARKK,ארק אינוביישן,אָרְק אִינוֹבֵיישְן
SMH,ואן-אק מוליכים למחצה,וָאן־אֶק מוֹלִיכִים לְמֶחֱצָה
XLF,סלקט סקטור פייננשל,סֶלֶקְט סֶקְטוֹר פַייְנֶנְשְל
XLK,סלקט סקטור טכנולוגיה,סֶלֶקְט סֶקְטוֹר טֶכְנוֹלוֹגְיָה
XLE,סלקט סקטור אנרגיה,סֶלֶקְט סֶקְטוֹר אֶנֶרְגְּיָה
XLI,סלקט סקטור תעשיה,סֶלֶקְט סֶקְטוֹר תַּעֲשִׂיָּה
XLP,סלקט סקטור מוצרי צריכה,סֶלֶקְט סֶקְטוֹר מוּצְרֵי צְרִיכָה
XLV,סלקט סקטור בריאות,סֶלֶקְט סֶקְטוֹר בְּרִיאוּת
XLY,סלקט סקטור צריכה מחזורית,סֶלֶקְט סֶקְטוֹר צְרִיכָה מַחְזוֹרִית
XLU,סלקט סקטור תשתיות,סֶלֶקְט סֶקְטוֹר תַּשְׁתִּיּוֹת
XLB,סלקט סקטור חומרים,סֶלֶקְט סֶקְטוֹר חוֹמָרִים
XLC,סלקט סקטור תקשורת,סֶלֶקְט סֶקְטוֹר תִּקְשֹׁורֶת
GDX,ואן-אק מניות זהב,וָאן־אֶק מְנָיוֹת זָהָב
SLV,איישרס כסף,אֵייְשֶׁרְס כֶּסֶף
GLD,ספיידר זהב,סְפַּייְדֶר זָהָב
USO,יו.אס. אויל,יוּ.אֶס. אוֹיְל
TLT,איישרס אגח ארצות הברית 20+,אֵייְשֶׁרְס אָגָח אָרְצוֹת הָבְּרִית 20+
HYG,איישרס אגח זבל,אֵייְשֶׁרְס אֲגַח זֶבֶל
LQD,איישרס אגח חברות,אֵייְשֶׁרְס אֲגַח חֲבָרוֹת
AGG,אג'ג,אֶגִ'י
BND,וונגארד אגח כולל,ווֹנְגָארְד אָגָח כּוֹלֵל
IYR,איישרס נדלן,אֵייְשֶׁרְס נָדְלָן
KBE,ספיידר בנקים,סְפַּייְדֶר בַּנְקִים
KRE,ספיידר בנקים אזוריים,סְפַּייְדֶר בַּנְקִים אֲזוֹרִיִּים
XBI,ספיידר ביוטק,סְפַּייְדֶר בִּיוֹטֶק
IBB,איישרס ביוטק,אֵייְשֶׁרְס בִּיוֹטֶק
VGT,וונגארד טכנולוגיה,ווֹנְגָארְד טֶכְנוֹלוֹגְיָה
FTEC,פידליטי טכנולוגיה,פִּידֵלִיטִי טֶכְנוֹלוֹגְיָה
IGV,איישרס תוכנה,אֵייְשֶׁרְס תּוֹכְנָה
SOXX,איישרס מוליכים למחצה,אֵייְשֶׁרְס מוֹלִיכִים לְמֶחֱצָה
XSD,ספיידר מוליכים למחצה,סְפַּייְדֶר מוֹלִיכִים לְמֶחֱצָה
BOTZ,רובוטיקה ובינה מלאכותית,רוֹבּוֹטִיקָה וּבִּינָה מְלָאכוּתִית
CIBR,סייברסקיוריטי,סַייְבֶּרְסְקְיוּרִיטִי
BUG,באגס,בַּאגְס
DRIV,נהיגה אוטונומית,נְהִיגָה אוֹטוֹנוֹמִית
ESPO,גיימינג ואיספורט,גֵּייְמִינְג וְאִיסְפּוֹרְט
FINX,פינטק,פִּינְטֶק
BLOK,בלוקצ'יין,בְּלוֹקְצֵ'יין
LIT,ליתיום ובטריות,לִיתְיוּם וּבַּטְרִיּוֹת
ICLN,קלין אנרג'י,קְלִין אֶנֶרְגִ'י
PBW,סולאר,סוֹלָאר
TAN,טכנולוגיה סולארית,טֶכְנוֹלוֹגְיָה סוֹלָארִית
CNRG,אנרגיה מתחדשת,אֶנֶרְגְּיָה מִתְחַדֶּשֶׁת
URA,אורניום,אוּרָנְיוּם
GDXJ,ואן-אק ג'וניור גולד,וָאן־אֶק ג'וּנְיוֹר גוֹלְד
PAVE,תשתיות,תַּשְׁתִּיּוֹת
FCX,פריפורט-מקמורן,פְּרִיפוֹרְט־מַקְמוֹרַן
RIO,ריו טינטו,רִיוֹ טִינְטוֹ
BHP,בי-אייץ'-פי גרופ,בִּי־אֵייְץ'־פִּי גְרוּפּ
VALE,וואלה,וָואלֶה
SQ,בלוק,בְּלוֹק
COIN,קוינבייס,קוֹיְנְבֵּייס
MSTR,מיקרוסטרטג'י,מִיקְרוֹסְטְרָטֶגִ'י
MARA,מרתון דיגיטל,מָרָתוֹן דִּיגִיטַל
RIOT,ריוט בלוקצ'יין,רִיוֹט בְּלוֹקְצֵ'יין
HUT,האט 8 מיינינג,הַאט 8 מַיְינִינְג
CLSK,קלינספארק,קְלִינְסְפַּארְק
BITF,ביט פארמס,בִּיט פַּארְמְס
HIVE,הייב בלוקצ'יין,הַייְב בְּלוֹקְצֵ'יין
QCOM,קואלקום,קוֹאַלְקוֹם
AVGO,אבגו,אַבְגוֹ
TXN,טקסס אינסטרומנטס,טֶקְסַס אִינְסְטְרוּמֶנְטְס
AMAT,אפלייד מטיריאלס,אַפְּלַייְד מַטִירִיאַלְס
MU,מיקרון טכנולוג'י,מִיקְרוֹן טֶכְנוֹלוֹגִ'י
ADI,אנלוג דיבייסס,אָנָלוֹג דִּיבַּיְיסֶס
KLAC,קלאק,קְלָאק
MPWR,מקסים אינטגרטד,מַקְסִים אִינְטֶגְרָטֶד
ON,און סמיקונדקטור,אוֹן סֶמִיקּוֹנְדַקְטוֹר
NXPI,אן-אקס-פי סמיקונדקטורס,אֶן־אֶקְס־פִּי סֶמִיקּוֹנְדַקְטוֹרְס
TER,טרדיין,טֶרְדַּיְין
SWKS,סקייוורקס סולושנס,סְקַייְוּוֹרְקְס סוֹלוּשֶׁנְס
MCHP,מיקרוצ'יפ טכנולוג'י,מִיקְרוֹצִ'יפּ טֶכְנוֹלוֹגִ'י
XLNX,קסילנקס,קְסִילֶנְקְס
MRVL,מרוול טכנולוג'י,מַרְוֶול טֶכְנוֹלוֹגִ'י
CRUS,סירוס לוג'יק,סִירוּס לוֹגִ'יק
LSCC,לטיס סמיקונדקטור,לַטִּיס סֶמִיקּוֹנְדַקְטוֹר
OVTI,אומניויז'ן טכנולוג'י,אוֹמְנִיוִויזְ'ן טֶכְנוֹלוֹגִ'י
POWI,פאוור אינטג'ריישנס,פָּאוּוֶר אִינְטֶגְרֵייְשֶׁנְס
RMBS,רמבוס,רַמְבּוּס
SMSI,סמסארט,סַמְסַארְט
STM,אס-טי-מייקרואלקטרוניקס,אֶס־טִי־מַיְיקְרוֹאֶלֶקְטְרוֹנִיקְס
TSEM,טאוור סמיקונדקטור,טַאוֶור סֶמִיקּוֹנְדַקְטוֹר
UMC,יונייטד מיקרואלקטרוניקס,יוּנַיְיטֶד מִיקְרוֹאֶלֶקְטְרוֹנִיקְס
DD,דו פונט,דּוּ פוֹנְט
ECL,אקולאב,אֵקוֹלָאב
APD,אייר פרודקטס אנד כמקלס,אֵייְר פְּרוֹדַקְטְס אֶנְד כֶּמִקָלְס
LIN,לינדה,לִינְדָה
SHW,שרנווין-ויליאמס,שֶׁרְנוִוין־וִוילְיַאמְס
PPG,פי-פי-ג'י,פִּי־פִּי־גִ'י
EMN,איסטמן כמקל,אִיסְטְמַן כֶּמִקָל
CE,סלניז,סֶלֶנִיז
IFF,איי.אף.אף,אֵיי.אֶף.אֶף
ALB,אלבמארל,אַלְבֶּמַארְל
MOS,מוזאיק,מוֹזַאִיק
NTR,נוטריאן,נוּטְרִיאַן
CF,סי-אף תעשיות,סִי־אֶף תַּעֲשִׂיּוֹת
WLK,ווילקינסון,וִוילְקִינְסוֹן
VMC,וולקן מטריאלס,ווֹלְקָן מַטִירִיאַלְס
MLM,מרטין מריאטה,מַרְטִין מָרִיאָטָה
EXP,אקספוזישן,אֶקְסְפּוֹזִישְן
FIX,פיקס,פִיקְס
